,mean,std,min,max
net_eval_alignment,0.5712645732470294,0.0467855511436828,0.3850554489089324,0.6954367178841339
input_eval_alignment,0.5580230214491577,0.04958539593803198,0.3236055891297094,0.6893016445104674
mean_eval_alignment,0.4980394422068075,0.05530525305018542,0.327126660232167,0.6138943144777766
edge_eval_alignment,0.4004632919867608,0.05667786954009854,0.1752131619158166,0.5079666591277942
dropout_eval_alignment,0.4900006446789561,0.06114435594854073,0.2324069540589932,0.6428675252452793
net_minus_input,0.013241551797871887,0.027161516838739005,-0.0493251514654689,0.1153656994019867
net_minus_dropout,0.08126392856807332,0.03837852001815377,0.0116999497572198,0.2132379565565332
net_minus_edge,0.17080128126026872,0.04747754660243762,0.093700285338816,0.3337410844160481
