fold_id,net_eval_alignment,input_eval_alignment,mean_eval_alignment,edge_eval_alignment,dropout_eval_alignment,net_minus_input,net_minus_dropout,net_minus_edge
1,0.5657024148119307,0.5529001341186388,0.4599418797983139,0.3945520559810961,0.47035435039512685,0.01280228069329195,0.09534806441680381,0.17115035883083457
2,0.5732666629137675,0.5545912981371197,0.5552557967014338,0.42476411820618015,0.5150273350258743,0.018675364776647718,0.058239327887893176,0.14850254470758728
3,0.5449247468603267,0.5364311268317699,0.4950968685142765,0.3441934083504297,0.4449463563673571,0.008493620028556807,0.09997839049296958,0.20073133850989694
4,0.5916128105423171,0.5641130497821667,0.48392791567158105,0.42360896434713763,0.495160691370729,0.027499760760150305,0.096452119171588,0.16800384619517936
5,0.5808162311068058,0.5820794983760932,0.4959747503484324,0.4151979130489603,0.5245144902356936,-0.00126326726928735,0.05630174087111208,0.16561831805784544
